<<<<<<< HEAD
:geoo/abstract/tbeam_right.T: 272 400
:geoo/abstract/tbeam_right.T: 304 400
:geoo/abstract/tbeam_right.T: 336 400
<<<<<<< HEAD
=======
:geoo/abstract/tbeam_right.T: 304 400
>>>>>>> 76e0cc49098ff861a8d99071355706377614f6e9
:geoo/abstract/tbeam_right.T: 400 400
:geoo/abstract/tbeam_right.T: 432 400
:geoo/abstract/tbeam_right.T: 464 400
:geoo/abstract/tbeam_right.T: 496 400
:geoo/abstract/tbeam_right.T: 528 400
:geoo/abstract/tbeam_right.T: 560 400
:geoo/abstract/tbeam_right.T: 592 400
:geoo/abstract/tbeam_right.T: 624 400
:geoo/abstract/tbeam_right.T: 16 400
:geoo/abstract/tbeam_right.T: 48 400
:geoo/abstract/tbeam_right.T: 80 400
:geoo/abstract/tbeam_right.T: 112 400
:geoo/abstract/tbeam_right.T: 144 400
<<<<<<< HEAD
:geoo/abstract/tbeam_right.T: 176 400
:geoo/abstract/tbeam_right.T: 208 400
=======
>>>>>>> 76e0cc49098ff861a8d99071355706377614f6e9
:geoo/abstract/tbeam_up.T: 368 400
:geoo/abstract/tbeam_up.T: 96 771
:geoo/abstract/tbeam_right.T: 98 752
:geoo/abstract/tbeam_left.T: 416 596
:geoo/abstract/tbeam_left.T: 448 596
:geoo/abstract/tbeam_left.T: 480 608
:geoo/abstract/tbeam_left.T: 544 568
:geoo/abstract/tbeam_up.T: 544 628
:geoo/abstract/tbeam_up.T: 544 596
:geoo/abstract/tbeam_left.T: 544 568
:geoo/abstract/tbeam_left.T: 514 592
:geoo/abstract/tbeam_right.T: 512 628
:geoo/abstract/tbeam_right.T: 512 620
:geoo/abstract/tbeam_up.T: 448 260
:geoo/abstract/tbeam_up.T: 480 260
:geoo/abstract/tbeam_up.T: 512 260
:geoo/abstract/tbeam_up.T: 544 260
:geoo/abstract/tbeam_up.T: 576 260
:geoo/abstract/tbeam_up.T: 608 260
:geoo/abstract/tbeam_up.T: 0 260
:geoo/abstract/tbeam_up.T: 32 260
:geoo/abstract/tbeam_up.T: 64 260
:geoo/abstract/tbeam_up.T: 96 260
:geoo/abstract/tbeam_up.T: 128 260
:geoo/abstract/tbeam_up.T: 160 260
:geoo/abstract/tbeam_left.T: 448 228
:geoo/abstract/tbeam_left.T: 480 228
:geoo/abstract/tbeam_left.T: 512 228
:geoo/abstract/tbeam_left.T: 544 228
:geoo/abstract/tbeam_left.T: 576 228
:geoo/abstract/tbeam_left.T: 608 228
:geoo/abstract/tbeam_left.T: 0 228
:geoo/abstract/tbeam_left.T: 32 228
:geoo/abstract/tbeam_left.T: 64 228
:geoo/abstract/tbeam_left.T: 96 228
:geoo/abstract/tbeam_left.T: 448 196
:geoo/abstract/tbeam_left.T: 480 196
:geoo/abstract/tbeam_left.T: 512 196
:geoo/abstract/tbeam_left.T: 544 196
:geoo/abstract/tbeam_left.T: 576 196
:geoo/abstract/tbeam_left.T: 608 196
:geoo/abstract/tbeam_left.T: 0 196
:geoo/abstract/tbeam_up.T: 240 160
:geoo/abstract/tbeam_up.T: 272 160
:geoo/abstract/tbeam_up.T: 304 160
:geoo/abstract/tbeam_up.T: 336 160
:geoo/abstract/tbeam_up.T: 368 160
:geoo/abstract/tbeam_up.T: 400 160
:geoo/abstract/tbeam_up.T: 208 160
:geoo/abstract/tbeam_right.T: 256 128
:geoo/abstract/tbeam_right.T: 288 128
:geoo/abstract/tbeam_right.T: 320 128
:geoo/abstract/tbeam_right.T: 352 128
:geoo/abstract/tbeam_right.T: 224 128
:geoo/abstract/tbeam_right.T: 192 128
:geoo/abstract/tbeam_right.T: 384 128
:geoo/abstract/tbeam_right.T: 416 128
:geoo/abstract/tbeam_up.T: 208 192
:geoo/abstract/tbeam_up.T: 240 192
:geoo/abstract/tbeam_up.T: 272 192
:geoo/abstract/tbeam_up.T: 304 192
:geoo/abstract/tbeam_up.T: 336 192
:geoo/abstract/tbeam_up.T: 368 192
:geoo/abstract/tbeam_up.T: 400 192
:geoo/abstract/tbeam_right.T: 624 0
:geoo/abstract/tbeam_right.T: 16 0
:geoo/abstract/tbeam_right.T: 48 0
:geoo/abstract/tbeam_right.T: 80 0
<<<<<<< HEAD
=======
:geoo/abstract/tbeam_right.T: 560 0
>>>>>>> 76e0cc49098ff861a8d99071355706377614f6e9
:geoo/abstract/tbeam_right.T: 144 0
:geoo/abstract/tbeam_right.T: 176 0
:geoo/abstract/tbeam_right.T: 208 0
:geoo/abstract/tbeam_right.T: 240 0
:geoo/abstract/tbeam_right.T: 272 0
:geoo/abstract/tbeam_right.T: 304 0
:geoo/abstract/tbeam_right.T: 336 0
:geoo/abstract/tbeam_right.T: 368 0
:geoo/abstract/tbeam_right.T: 400 0
<<<<<<< HEAD
:geoo/abstract/tbeam_right.T: 432 0
:geoo/abstract/tbeam_right.T: 464 0
:geoo/abstract/tbeam_right.T: 496 0
:geoo/abstract/tbeam_right.T: 528 0
:geoo/abstract/tbeam_right.T: 560 0
:geoo/abstract/tbeam_right.T: 592 0
=======
>>>>>>> 76e0cc49098ff861a8d99071355706377614f6e9
:geoo/abstract/tbeam_up.T: 112 0
:geoo/abstract/tbeam_up.T: 352 371
:geoo/abstract/tbeam_right.T: 354 352
:geoo/abstract/tbeam_left.T: 32 196
:geoo/abstract/tbeam_left.T: 64 196
:geoo/abstract/tbeam_left.T: 96 208
:geoo/abstract/tbeam_left.T: 160 168
:geoo/abstract/tbeam_up.T: 160 228
:geoo/abstract/tbeam_up.T: 160 196
:geoo/abstract/tbeam_left.T: 160 168
:geoo/abstract/tbeam_left.T: 130 192
:geoo/abstract/tbeam_right.T: 128 228
:geoo/abstract/tbeam_right.T: 128 220

:matt/underworld/01: 0 656
:matt/underworld/01: 64 656
:matt/underworld/01: 128 656
:matt/underworld/01: 576 656
:matt/underworld/02: 128 560
:matt/underworld/01: 544 536
:matt/underworld/01: 544 568
:matt/underworld/02: 576 560
:geoo/steel/16x32o.S: 176 640
:matt/underworld/thinplatform128: 176 656 d
:matt/underworld/thinplatform16: 190 640 rrrd
:matt/underworld/thinplatform16: 190 624 rrrd
:matt/underworld/01: 192 592
:matt/underworld/01: 256 592
:matt/underworld/01: 320 592
:matt/underworld/thinplatform64: 192 524 rrr
:matt/underworld/01: 192 560
:matt/underworld/01: 256 560
:geoo/construction/stairs_ru_8.S: 304 572
:matt/underworld/01: 320 560
:matt/underworld/01: 0 768
:matt/underworld/01: 64 768
:geoo/construction/stairs_ru_8.S: 66 768
:matt/underworld/01: 128 768
:matt/underworld/01: 192 768
:geoo/construction/stairs_rd_32.S: 136 752
:matt/underworld/01: 256 768
:matt/underworld/01: 320 768
:matt/underworld/01: 384 768
:matt/underworld/01: 448 768
:matt/underworld/01: 512 768
:matt/underworld/01: 576 768
:geoo/steel/32x16o.S: 0 784
:geoo/steel/32x16o.S: 32 784
:geoo/steel/32x16o.S: 64 784
:geoo/steel/16x32o.S: 80 760
:geoo/steel/32x16o.S: 128 788
:geoo/steel/16x16o.S: 144 778
:geoo/steel/32x16o.S: 160 784
:geoo/steel/32x16o.S: 192 784
:geoo/steel/32x16o.S: 224 784
:geoo/steel/32x16o.S: 256 784
:geoo/steel/32x16o.S: 288 784
:geoo/steel/32x16o.S: 320 784
:geoo/steel/32x16o.S: 352 784
:geoo/steel/32x16o.S: 384 784
:geoo/steel/32x16o.S: 416 784
:geoo/steel/32x16o.S: 448 784
:geoo/steel/32x16o.S: 480 784
:geoo/steel/32x16o.S: 512 784
:geoo/steel/32x16o.S: 544 784
:geoo/steel/32x16o.S: 576 784
:geoo/steel/32x16o.S: 608 784
:geoo/steel/32x16o.S: 160 672
:geoo/steel/32x16o.S: 128 672
:geoo/steel/32x16o.S: 96 672
:geoo/steel/32x16o.S: 64 672
:geoo/steel/32x16o.S: 32 672
:geoo/steel/32x16o.S: 576 672
:geoo/steel/32x16o.S: 608 672
:geoo/steel/32x16o.S: 0 672
:geoo/steel/32x16o.S: 192 608
:geoo/steel/32x16o.S: 224 608
:geoo/steel/32x16o.S: 256 608
:geoo/steel/32x16o.S: 288 608
:geoo/steel/32x16o.S: 320 608
:geoo/steel/32x16o.S: 352 608
:geoo/steel/32x16o.S: 384 608
:geoo/steel/16x32o.S: 576 608
:geoo/steel/16x32o.S: 576 640
:geoo/steel/16x32o.S: 176 608
:geoo/steel/16x16o.S: 160 656
:matt/underworld/thinplatform128: 48 654 d
:geoo/steel/16x32o.S: 576 576
:geoo/steel/16x32o.S: 176 576
:geoo/steel/16x16o.S: 576 560
:matt/underworld/01: 528 504
:matt/underworld/01: 576 528
:geoo/steel/16x32o.S: 576 528
:matt/underworld/01: 576 496
:matt/underworld/01: 0 496
:matt/underworld/01: 64 496
:geoo/construction/stairs_rd_8.S: 158 489
:matt/underworld/01: 128 496
:matt/underworld/01: 128 528
:geoo/construction/stairs_rd_8.S: 174 505
:geoo/steel/16x32o.S: 176 496
:geoo/steel/16x16o.S: 176 560
:geoo/steel/16x16o.S: 192 512
:matt/underworld/thinplatform8: 176 560 d
:matt/underworld/thinplatform8: 184 560 d
:matt/underworld/thinplatform8: 192 559 d
:matt/underworld/thinplatform8: 200 557 d
:matt/underworld/thinplatform128: 190 658 d
:matt/underworld/thinplatform8: 208 557 d
:geoo/steel/16x32o.S: 192 560
:matt/underworld/01: 416 568
:geoo/steel/32x64o.S: 384 544
:matt/underworld/01: 416 536
:geoo/steel/32x16o.S: 416 608
:geoo/steel/32x16o.S: 448 608
:matt/underworld/01: 464 504
:matt/underworld/01: 400 504
:matt/underworld/09b: 384 488 rrd
:geoo/steel/32x16o.S: 144 480
:geoo/steel/32x16o.S: 112 480
:geoo/steel/32x16o.S: 80 480
:geoo/steel/32x16o.S: 48 480
:geoo/steel/32x16o.S: 16 480
:geoo/steel/32x16o.S: 624 480
:geoo/steel/32x16o.S: 592 480
:geoo/steel/16x32o.S: 576 496
:geoo/steel/16x16o.S: 576 480
:matt/underworld/thinplatform16: 190 624 rrrd
:geoo/steel/32x16o.S: 384 528
:matt/underworld/09b: 376 480 rrd
:geoo/steel/16x16o.S: 160 768
:geoo/steel/32x16o.S: 96 752
:geoo/steel/32x16o.S: 128 752
:geoo/steel/32x16o.S: 512 608
:geoo/steel/32x16o.S: 480 608
:geoo/steel/32x16o.S: 416 592
:geoo/steel/32x16o.S: 448 592
:geoo/steel/32x16o.S: 480 592
:matt/underworld/thinplatform8: 534 606 rrd
:geoo/steel/32x16o.S: 528 576
:geoo/steel/16x16o.S: 560 576
:matt/underworld/thinplatform8: 542 592 rrrd
:matt/underworld/thinplatform8: 542 600 rrrd
:matt/underworld/thinplatform8: 534 606 rrd
:matt/underworld/thinplatform8: 526 606 rrd
:matt/underworld/thinplatform8: 510 602 rrd
:matt/underworld/thinplatform8: 504 600 rrd
:matt/underworld/thinplatform8: 500 598 rrd
:matt/underworld/thinplatform8: 498 596 rrd
:matt/underworld/thinplatform8: 496 592 rrd
:matt/underworld/thinplatform8: 496 594 rrd
:geoo/steel/32x16o.S: 544 560
:geoo/construction/stairs_rd_32.S: 188 528
:geoo/construction/platform_single.S: 496 590
:geoo/construction/stairs_ru_8.S: 50 776
:geoo/steel/32x16o.S: 352 592
:geoo/steel/32x16o.S: 320 592
:geoo/steel/32x16o.S: 288 592
:geoo/steel/32x16o.S: 256 592
:geoo/steel/32x16o.S: 224 592
:geoo/steel/32x16o.S: 192 592
:geoo/construction/stairs_rd_32.S: 254 560
:geoo/construction/stairs_ru_32.S: 312 544
:geoo/steel/32x16o.S: 544 504
:geoo/steel/32x16o.S: 512 504
:geoo/steel/32x16o.S: 480 504
:matt/underworld/01: 256 256
:matt/underworld/01: 320 256
:matt/underworld/01: 384 256
:matt/underworld/01: 192 256
:matt/underworld/02: 384 160
:matt/underworld/01: 160 136
:matt/underworld/01: 160 168
:matt/underworld/02: 192 160
:geoo/steel/16x32o.S: 432 240
:matt/underworld/thinplatform128: 432 256 d
:matt/underworld/thinplatform16: 446 240 rrrd
:matt/underworld/thinplatform16: 446 224 rrrd
:matt/underworld/01: 448 192
:matt/underworld/01: 512 192
:matt/underworld/01: 576 192
:matt/underworld/thinplatform64: 448 124 rrr
:matt/underworld/01: 448 160
:matt/underworld/01: 512 160
:geoo/construction/stairs_ru_8.S: 560 172
:matt/underworld/01: 576 160
:matt/underworld/01: 256 368
:matt/underworld/01: 320 368
:geoo/construction/stairs_ru_8.S: 322 368
:matt/underworld/01: 384 368
:matt/underworld/01: 448 368
:geoo/construction/stairs_rd_32.S: 392 352
:matt/underworld/01: 512 368
:matt/underworld/01: 576 368
:matt/underworld/01: 0 368
:matt/underworld/01: 64 368
:matt/underworld/01: 128 368
:matt/underworld/01: 192 368
:geoo/steel/32x16o.S: 256 384
:geoo/steel/32x16o.S: 288 384
:geoo/steel/32x16o.S: 320 384
:geoo/steel/16x32o.S: 336 360
:geoo/steel/32x16o.S: 384 388
:geoo/steel/16x16o.S: 400 378
:geoo/steel/32x16o.S: 416 384
:geoo/steel/32x16o.S: 448 384
:geoo/steel/32x16o.S: 480 384
:geoo/steel/32x16o.S: 512 384
:geoo/steel/32x16o.S: 544 384
:geoo/steel/32x16o.S: 576 384
:geoo/steel/32x16o.S: 608 384
:geoo/steel/32x16o.S: 0 384
:geoo/steel/32x16o.S: 32 384
:geoo/steel/32x16o.S: 64 384
:geoo/steel/32x16o.S: 96 384
:geoo/steel/32x16o.S: 128 384
:geoo/steel/32x16o.S: 160 384
:geoo/steel/32x16o.S: 192 384
:geoo/steel/32x16o.S: 224 384
:geoo/steel/32x16o.S: 416 272
:geoo/steel/32x16o.S: 384 272
:geoo/steel/32x16o.S: 352 272
:geoo/steel/32x16o.S: 320 272
:geoo/steel/32x16o.S: 288 272
:geoo/steel/32x16o.S: 192 272
:geoo/steel/32x16o.S: 224 272
:geoo/steel/32x16o.S: 256 272
:geoo/steel/32x16o.S: 448 208
:geoo/steel/32x16o.S: 480 208
:geoo/steel/32x16o.S: 512 208
:geoo/steel/32x16o.S: 544 208
:geoo/steel/32x16o.S: 576 208
:geoo/steel/32x16o.S: 608 208
:geoo/steel/32x16o.S: 0 208
:geoo/steel/16x32o.S: 192 208
:geoo/steel/16x32o.S: 192 240
:geoo/steel/16x32o.S: 432 208
:geoo/steel/16x16o.S: 416 256
:matt/underworld/thinplatform128: 304 254 d
:geoo/steel/16x32o.S: 192 176
:geoo/steel/16x32o.S: 432 176
:geoo/steel/16x16o.S: 192 160
:matt/underworld/01: 144 104
:matt/underworld/01: 192 128
:geoo/steel/16x32o.S: 192 128
:matt/underworld/01: 192 96
:matt/underworld/01: 256 96
:matt/underworld/01: 320 96
:geoo/construction/stairs_rd_8.S: 414 89
:matt/underworld/01: 384 96
:matt/underworld/01: 384 128
:geoo/construction/stairs_rd_8.S: 430 105
:geoo/steel/16x32o.S: 432 96
:geoo/steel/16x16o.S: 432 160
:geoo/steel/16x16o.S: 448 112
:matt/underworld/thinplatform8: 432 160 d
:matt/underworld/thinplatform8: 440 160 d
:matt/underworld/thinplatform8: 448 159 d
:matt/underworld/thinplatform8: 456 157 d
:matt/underworld/thinplatform128: 446 258 d
:matt/underworld/thinplatform8: 464 157 d
:geoo/steel/16x32o.S: 448 160
:matt/underworld/01: 32 168
:geoo/steel/32x64o.S: 0 144
:matt/underworld/01: 32 136
:geoo/steel/32x16o.S: 32 208
:geoo/steel/32x16o.S: 64 208
:matt/underworld/01: 80 104
:matt/underworld/01: 16 104
:matt/underworld/09b: 0 88 rrd
:geoo/steel/32x16o.S: 400 80
:geoo/steel/32x16o.S: 368 80
:geoo/steel/32x16o.S: 336 80
:geoo/steel/32x16o.S: 304 80
:geoo/steel/32x16o.S: 272 80
:geoo/steel/32x16o.S: 240 80
:geoo/steel/32x16o.S: 208 80
:geoo/steel/16x32o.S: 192 96
:geoo/steel/16x16o.S: 192 80
:matt/underworld/thinplatform16: 446 224 rrrd
:geoo/steel/32x16o.S: 0 128
:matt/underworld/09b: 632 80 rrd
:geoo/steel/16x16o.S: 416 368
:geoo/steel/32x16o.S: 352 352
:geoo/steel/32x16o.S: 384 352
:geoo/steel/32x16o.S: 128 208
:geoo/steel/32x16o.S: 96 208
:geoo/steel/32x16o.S: 32 192
:geoo/steel/32x16o.S: 64 192
:geoo/steel/32x16o.S: 96 192
:matt/underworld/thinplatform8: 150 206 rrd
:geoo/steel/32x16o.S: 144 176
:geoo/steel/16x16o.S: 176 176
:matt/underworld/thinplatform8: 158 192 rrrd
:matt/underworld/thinplatform8: 158 200 rrrd
:matt/underworld/thinplatform8: 150 206 rrd
:matt/underworld/thinplatform8: 142 206 rrd
:matt/underworld/thinplatform8: 126 202 rrd
:matt/underworld/thinplatform8: 120 200 rrd
:matt/underworld/thinplatform8: 116 198 rrd
:matt/underworld/thinplatform8: 114 196 rrd
:matt/underworld/thinplatform8: 112 192 rrd
:matt/underworld/thinplatform8: 112 194 rrd
:geoo/steel/32x16o.S: 160 160
:geoo/construction/stairs_rd_32.S: 444 128
:geoo/construction/platform_single.S: 112 190
:geoo/construction/stairs_ru_8.S: 306 376
:geoo/steel/32x16o.S: 608 192
:geoo/steel/32x16o.S: 576 192
:geoo/steel/32x16o.S: 544 192
:geoo/steel/32x16o.S: 512 192
:geoo/steel/32x16o.S: 480 192
:geoo/steel/32x16o.S: 448 192
:geoo/construction/stairs_rd_32.S: 510 160
:geoo/construction/stairs_ru_32.S: 568 144
:geoo/steel/32x16o.S: 160 104
:geoo/steel/32x16o.S: 128 104
:geoo/steel/32x16o.S: 96 104
:geoo/steel/32x16o.S: 128 32
:geoo/steel/32x16o.S: 384 432
