$BUILT                                             2012-01-21 10:39:28
$AUTHOR                                                   Clam Spammer
$GERMAN                                                               
$ENGLISH                                       Let's go mining (v, 4P)
:bitmap/matt/02 - Gold Mine/07:                          528       432
:bitmap/matt/02 - Gold Mine/07:                          416       416
:bitmap/matt/02 - Gold Mine/07:                          576       480
:bitmap/matt/02 - Gold Mine/07:                          304       416
:bitmap/matt/02 - Gold Mine/07:                           32       448
:bitmap/matt/02 - Gold Mine/07:                          144       432
:bitmap/matt/02 - Gold Mine/07:                          592       544
:bitmap/matt/02 - Gold Mine/07:                          480       496
:bitmap/matt/02 - Gold Mine/07:                          368       464
:bitmap/matt/02 - Gold Mine/07:                          352       528
:bitmap/matt/02 - Gold Mine/07:                          272       480
:bitmap/matt/02 - Gold Mine/07:                          144       496
:bitmap/matt/02 - Gold Mine/07:                           64       544
:bitmap/matt/02 - Gold Mine/07:                          208       544
:bitmap/matt/02 - Gold Mine/07:                          608       576
:bitmap/matt/02 - Gold Mine/07:                           64       560
:bitmap/matt/02 - Gold Mine/07:                          192       560
:bitmap/matt/02 - Gold Mine/07:                          336       560
:bitmap/matt/02 - Gold Mine/07:                          496       544
:bitmap/matt/02 - Gold Mine/07:                          544       624
:bitmap/matt/02 - Gold Mine/07:                          432       608
:bitmap/matt/02 - Gold Mine/07:                          592       672
:bitmap/matt/02 - Gold Mine/07:                          320       608
:bitmap/matt/02 - Gold Mine/07:                           48       640
:bitmap/matt/02 - Gold Mine/07:                          160       624
:bitmap/matt/02 - Gold Mine/07:                          608       736
:bitmap/matt/02 - Gold Mine/07:                          496       688
:bitmap/matt/02 - Gold Mine/07:                          384       656
:bitmap/matt/02 - Gold Mine/07:                          368       720
:bitmap/matt/02 - Gold Mine/07:                          288       672
:bitmap/matt/02 - Gold Mine/07:                          160       688
:bitmap/matt/02 - Gold Mine/07:                           80       736
:bitmap/matt/02 - Gold Mine/07:                          224       736
:bitmap/matt/02 - Gold Mine/07:                          512       752
:bitmap/matt/05 - Winter/09a:                            128       480     d
:bitmap/matt/05 - Winter/09a:                            448       480     d
:bitmap/matt/05 - Winter/09a:                            128       680     d
:bitmap/matt/05 - Winter/09a:                            448       680     d
